Topic,Words,Frequency,Timestamp,Name
4,"ng, lim, kee, fairprice, sin",1,2023-07-19 10:01:22.849999872,4_labour_said_forced_workers
5,"aera, mastercontrol, avendium, decision, gartner",2,2023-07-19 10:01:22.849999872,5_chain_supply_solutions_logistics
6,"hp, applied, india, pc, manufacturing",2,2023-07-19 10:01:22.849999872,6_semiconductor_india_taiwan_vietnam
7,"azerbaijan, karabakh, nagorno, peace, armenian",2,2023-07-19 10:01:22.849999872,7_china_ukraine_war_military
9,"food, zealand, networks, supply, roads",2,2023-07-19 10:01:22.849999872,9_food_prices_price_supply
11,"food, agri, regulator, board, farmers",2,2023-07-19 10:01:22.849999872,11_food_agri_milk_farmers
12,"korea, china, south, korean, trade",1,2023-07-19 10:01:22.849999872,12_china_think_taiwan_chinese
13,"gaap, quarter, non, net, operating",5,2023-07-19 10:01:22.849999872,13_gaap_million_market_net
15,"prices, price, year, club, stores",3,2023-07-19 10:01:22.849999872,15_prices_stores_walmart_price
17,"wilko, stores, administration, street, bhs",1,2023-07-19 10:01:22.849999872,17_wilko_stores_buy_bath
-1,"philippines, payment, chain, sushi, supply",17,2023-08-06 09:57:54.900000000,-1_said_supply_chain_new
0,"battery, china, rare, mongolia, supply",3,2023-08-06 09:57:54.900000000,0_lithium_battery_minerals_supply
1,"oil, energy, africa, said, gas",5,2023-08-06 09:57:54.900000000,1_energy_supply_said_chain
2,"huawei, apple, foxconn, smartphone, fii",2,2023-08-06 09:57:54.900000000,2_apple_china_iphone_india
3,"charters, cargo, air, emergency, response",1,2023-08-06 09:57:54.900000000,3_supply_chain_business_businesses
4,"workers, cpi, fees, ssfc, carving",4,2023-08-06 09:57:54.900000000,4_labour_said_forced_workers
5,"e4q, gpx, dwell, 64l, chain",3,2023-08-06 09:57:54.900000000,5_chain_supply_solutions_logistics
6,"mcus, mcu, automotive, capacity, vietnam",2,2023-08-06 09:57:54.900000000,6_semiconductor_india_taiwan_vietnam
7,"campaign, military, chinese, china, gallium",4,2023-08-06 09:57:54.900000000,7_china_ukraine_war_military
8,"egyptian, pounds, drug, pharmaceutical, health",2,2023-08-06 09:57:54.900000000,8_drug_shortages_health_drugs
9,"prices, food, australia, faster, price",1,2023-08-06 09:57:54.900000000,9_food_prices_price_supply
10,"fil, chick, sandwich, chicken, menu",1,2023-08-06 09:57:54.900000000,10_vegan_grocery_said_food
11,"regulator, food, agri, kerrane, sinn",1,2023-08-06 09:57:54.900000000,11_food_agri_milk_farmers
12,"taiwan, semiconductor, companies, china, nm",1,2023-08-06 09:57:54.900000000,12_china_think_taiwan_chinese
13,"ball, aerospace, packaging, transaction, corporation",1,2023-08-06 09:57:54.900000000,13_gaap_million_market_net
14,"cold, market, storage, telf, ag",3,2023-08-06 09:57:54.900000000,14_market_exhibit_2027_2022
15,"walmart, stores, prices, patman, robinson",3,2023-08-06 09:57:54.900000000,15_prices_stores_walmart_price
16,"blockchain, energy, agi, ai, radioactive",2,2023-08-06 09:57:54.900000000,16_blockchain_ai_cloud_chain
17,"wilko, stores, store, shops, street",5,2023-08-06 09:57:54.900000000,17_wilko_stores_buy_bath
-1,"hud, kroger, albertsons, stores, said",14,2023-08-24 09:54:26.950000128,-1_said_supply_chain_new
0,"bumble, bee, supply, greenpeace, reporting",5,2023-08-24 09:54:26.950000128,0_lithium_battery_minerals_supply
1,"amd, energy, wind, esg, aramark",9,2023-08-24 09:54:26.950000128,1_energy_supply_said_chain
2,"taiwanese, kunshan, apple, mainland, china",1,2023-08-24 09:54:26.950000128,2_apple_china_iphone_india
3,"supply, rice, chain, global, india",5,2023-08-24 09:54:26.950000128,3_supply_chain_business_businesses
4,"hugo, core, boss, xinjiang, diesel",1,2023-08-24 09:54:26.950000128,4_labour_said_forced_workers
5,"ai, ucbos, bizlink, chain, autoscheduler",3,2023-08-24 09:54:26.950000128,5_chain_supply_solutions_logistics
6,"entry, valuation, sector, billion, india",4,2023-08-24 09:54:26.950000128,6_semiconductor_india_taiwan_vietnam
7,"niger, china, percent, urea, country",3,2023-08-24 09:54:26.950000128,7_china_ukraine_war_military
11,"code, new, grocery, supermarket, fairly",1,2023-08-24 09:54:26.950000128,11_food_agri_milk_farmers
12,"envision, zhang, china, energy, aesc",2,2023-08-24 09:54:26.950000128,12_china_think_taiwan_chinese
13,"market, pv, segment, photovoltaics, solar",5,2023-08-24 09:54:26.950000128,13_gaap_million_market_net
14,"packaging, cold, market, temperature, shippers",1,2023-08-24 09:54:26.950000128,14_market_exhibit_2027_2022
15,"school, stocks, year, walmart, stores",1,2023-08-24 09:54:26.950000128,15_prices_stores_walmart_price
16,"ondc, network, data, financial, blockchain",3,2023-08-24 09:54:26.950000128,16_blockchain_ai_cloud_chain
17,"wilko, stores, hilco, wilkinson, administrators",7,2023-08-24 09:54:26.950000128,17_wilko_stores_buy_bath
